group,names,scores,logfoldchanges,pvals,pvals_adj
0,CD74,19.99836,,5.691448394349755e-89,1.138289678869951e-85
0,PIM2,19.41739,,5.501474498768217e-84,5.501474498768217e-81
0,IGLL5,16.800194,,2.432495655583441e-63,1.6216637703889605e-60
0,HERPUD1,16.22394,,3.415588245339519e-59,1.7077941226697594e-56
0,ELK2AP,16.103113,,2.4258885396941956e-58,9.703554158776782e-56
0,MZB1,15.747438,,7.152047432447523e-56,2.384015810815841e-53
0,SLAMF7,15.732042,,9.12204712126922e-56,2.6062991775054913e-53
0,RGS1,15.38457,,2.077522483748583e-53,4.616716630552407e-51
0,DERL3,15.032886,,4.470962248611613e-51,8.941924497223226e-49
0,CYTIP,14.90039,,3.276633081112522e-50,5.957514692931858e-48
0,CD79A,14.554973,,5.430772642126846e-48,9.051287736878076e-46
0,ST6GAL1,13.948553,,3.210523872732064e-44,4.58646267533152e-42
0,FAM46C,13.904522,,5.94626968728879e-44,7.92835958305172e-42
0,MALAT1,13.7829075,,3.229957846028015e-43,4.0374473075350184e-41
0,IGJ,13.6541395,,1.9072878215043785e-42,2.2438680252992688e-40
0,CXCR4,13.408835,,5.367518863664776e-41,5.650019856489238e-39
0,C16orf54,13.383324,,7.568597616989788e-41,7.568597616989788e-39
0,BIRC3,13.3497305,,1.188776331059296e-40,1.1321679343421866e-38
0,NCF1,12.920504,,3.448763794828972e-38,3.135239813480884e-36
0,ISG20,12.883062,,5.606609751668575e-38,4.875312827537891e-36
0,TSC22D3,12.841147,,9.643496100429595e-38,8.036246750357996e-36
0,DNAJB9,12.474188,,1.0325333763889744e-35,7.942564433761342e-34
0,EZR,12.327203,,6.46521834416792e-35,4.789050625309571e-33
0,NCF1C,12.282306,,1.1273923573241196e-34,8.05280255231514e-33
0,UBB,12.246657,,1.750639248242405e-34,1.207337412580969e-32
0,FKBP11,12.054211,,1.8429008941021968e-33,1.1889683187756108e-31
0,SELK,12.037525,,2.2562368810194703e-33,1.410148050637169e-31
0,ANKRD28,12.030673,,2.4515288733953067e-33,1.4857750747850344e-31
0,SEC11C,11.959276,,5.806552111433102e-33,3.415618889078295e-31
0,XBP1,11.8259945,,2.8648937524428206e-32,1.6370821442530402e-30
0,THEMIS2,11.780009,,4.948790473082324e-32,2.7493280406012912e-30
0,SEL1L3,11.666133,,1.8985949782520208e-31,1.0262675558119032e-29
0,SMAP2,11.524851,,9.888383401450873e-31,5.204412316553091e-29
0,LSP1,11.447912,,2.4087802662495157e-30,1.235271931410008e-28
0,SAT1,11.392737,,4.544850942362706e-30,2.272425471181353e-28
0,BLNK,11.37319,,5.6870348674144814e-30,2.7741633499582835e-28
0,SRGN,11.304997,,1.2395783915856224e-29,5.797333627276068e-28
0,PIK3CG,11.304514,,1.2464267298643546e-29,5.797333627276068e-28
0,RAB30,11.1209135,,9.925067495835803e-29,4.511394316289002e-27
0,CYBA,11.018241,,3.1209680793734076e-28,1.387096924165959e-26
0,PRDM1,10.947106,,6.860413613813801e-28,2.9827885277451306e-26
0,STK17B,10.758569,,5.4002178369351106e-27,2.297965036993664e-25
0,IRF4,10.737248,,6.804190273111707e-27,2.8350792804632112e-25
0,FCRL5,10.729793,,7.376147523568248e-27,3.010672458599285e-25
0,PDE4B,10.547039,,5.242340333020391e-26,2.016284743469381e-24
0,LY9,10.093348,,5.911835106712958e-24,2.149758220622894e-22
0,MTRNR2L2,10.024893,,1.184880606480134e-23,4.1574758122109965e-22
0,MEI1,9.870834,,5.569924826530399e-23,1.9206637332863442e-21
0,HLA-E,9.801655,,1.1075651042565455e-22,3.754457980530663e-21
0,YPEL5,9.526143,,1.63235625136408e-21,5.441187504546933e-20
0,IL2RG,9.517921,,1.7667793281308188e-21,5.792719108625636e-20
0,SDF2L1,9.481931,,2.4962139812243433e-21,8.052303165239817e-20
0,ADAM28,9.307015,,1.314747911315714e-20,4.1738028930657584e-19
0,TAGAP,9.20654,,3.368064733841081e-20,1.0433524350829999e-18
0,PTK2B,9.205814,,3.3908954140197497e-20,1.0433524350829999e-18
0,IL10RA,9.190943,,3.894133748632773e-20,1.180040529888719e-18
0,NCF4,8.781505,,1.6130251750749293e-18,4.6754352900722587e-17
0,CD27,8.720405,,2.7720854045696195e-18,7.808691280477802e-17
0,HLA-DPA1,8.671074,,4.280631503004856e-18,1.189064306390238e-16
0,CD38,8.461982,,2.6287112191094174e-17,6.91766110291952e-16
0,NCF1B,8.442133,,3.115991734268087e-17,8.093485024072953e-16
0,DUSP1,8.3720255,,5.66361134976712e-17,1.433825658168891e-15
0,EVI2B,8.364973,,6.012888788009121e-17,1.5032221970022802e-15
0,STX11,8.33531,,7.729567070876623e-17,1.9085350792287955e-15
0,ANKRD36BP2,8.295934,,1.0773575357686324e-16,2.6277013067527616e-15
0,HLA-DOB,8.143326,,3.84564518721143e-16,9.266614908943204e-15
0,RHOH,8.11989,,4.666066007147121e-16,1.1109680969397907e-14
0,HLA-DQB1,8.065541,,7.291206752265891e-16,1.7155780593566803e-14
0,HCLS1,8.032956,,9.51515418622136e-16,2.2128265549352002e-14
0,SAMSN1,7.9600077,,1.7202834603479425e-15,3.954674621489523e-14
0,ZBP1,7.937156,,2.0686971280733607e-15,4.701584381984911e-14
0,IRF8,7.8293457,,4.90416355583384e-15,1.1020592260300764e-13
0,H2AFZ,7.8117733,,5.638889507102087e-15,1.253086557133797e-13
0,PPP1R15A,7.7765484,,7.453001094869135e-15,1.6380222186525573e-13
0,SPAG4,7.738422,,1.0065838667429635e-14,2.1646964876192765e-13
0,PLEK,7.7233887,,1.1327695028970187e-14,2.410147878504295e-13
0,CCR7,7.5955877,,3.0639805059661935e-14,6.317485579311739e-13
0,SLC17A9,7.5247555,,5.2819115527519136e-14,1.0670528389397806e-12
0,SH3KBP1,7.5099845,,5.913444055713763e-14,1.1673080174837063e-12
0,ICAM3,7.509783,,5.922553698154994e-14,1.1673080174837063e-12
0,CD79B,7.507828,,6.011636290041087e-14,1.1673080174837063e-12
0,ANKRD44,7.470649,,7.980050689822788e-14,1.52210622550658e-12
0,ICAM2,7.470467,,7.991057683909545e-14,1.52210622550658e-12
0,ANXA6,7.410476,,1.258467321713552e-13,2.3522753676888825e-12
0,CD83,7.372712,,1.6719111577765974e-13,3.067726895002931e-12
0,HLA-DRB1,7.3406916,,2.1249310829326716e-13,3.863511059877584e-12
0,RGS2,7.2977085,,2.927103231626552e-13,5.274059876804598e-12
0,FLT3,7.290232,,3.0942148087861146e-13,5.525383587118062e-12
0,FLJ43663,7.264962,,3.7314283695509233e-13,6.604297999205174e-12
0,LOC283710,7.2203064,,5.18705800527649e-13,9.100101763642963e-12
0,LAX1,7.2111373,,5.548641816520806e-13,9.649811854818792e-12
0,ITM2C,7.1925173,,6.360744191065952e-13,1.0966800329424055e-11
0,HLA-DRA,7.19018,,6.470602659096532e-13,1.1060859246318859e-11
0,HLA-DMA,7.180588,,6.941236599687948e-13,1.1764807796081269e-11
0,RASSF2,7.1573734,,8.223759562839057e-13,1.3821444643426986e-11
0,GLRX,7.0646763,,1.6099088715166212e-12,2.683181452527702e-11
0,LCP1,7.040595,,1.9142037487951955e-12,3.1380389324511405e-11
0,HLA-DQA1,6.882426,,5.884173767924477e-12,9.490602851491092e-11
